chart,CR3
Australia Songs,0.4
Austria Songs,0.36
Belgium Songs,0.36
Billboard Arabic Hot 100,0.28
Billboard Argentina Hot 100,0.32
Billboard Brasil Hot 100,0.12
Billboard Canadian Hot 100,0.22000000000000003
Billboard Colombia Hot 100,0.5
Billboard Italy Hot 100,0.36
Billboard Japan Hot 100,0.36
Billboard Korea Hot 100,0.7999999999999999
Billboard Philippines Hot 100,0.24
Billboard Thailand Top Thai Songs,0.36
Billboard Vietnam Hot 100,0.16
Bolivia Songs,0.44
Chile Songs,0.4
China TME UNI Chart,0.36000000000000004
Croatia Songs,0.56
Czech Republic Songs,0.24
Denmark Songs,0.24
Ecuador Songs,0.48
Finland Songs,0.28
France Songs,0.24
Germany Songs,0.24
Greece Songs,0.28
Hong Kong Songs,0.6
Hungary Songs,0.2
Iceland Songs,0.68
India Songs,0.2
Indonesia Songs,0.28
Ireland Songs,0.32
Luxembourg Songs,0.32
Malaysia Songs,0.16
Mexico Songs,0.52
Netherlands Songs,0.32
New Zealand Songs,0.44
Norway Songs,0.24
Peru Songs,0.48
Poland Songs,0.24
Portugal Songs,0.36
Romania Songs,0.32
Singapore Songs,0.24
Slovakia Songs,0.32
South Africa Songs,0.2
Spain Songs,0.4
Sweden Songs,0.2
Switzerland Songs,0.4
Taiwan Songs,0.24
Turkey Songs,0.36
U.K. Songs,0.36
U.S. Hot 100 Songs,0.22
Worldwide Top 200 Songs,0.15
