chart,HHI
Australia Songs,0.08480000000000001
Austria Songs,0.08160000000000002
Belgium Songs,0.07840000000000003
Billboard Arabic Hot 100,0.059199999999999996
Billboard Argentina Hot 100,0.08800000000000002
Billboard Brasil Hot 100,0.04
Billboard Canadian Hot 100,0.0282
Billboard Colombia Hot 100,0.10763888888888885
Billboard Italy Hot 100,0.07840000000000003
Billboard Japan Hot 100,0.08480000000000001
Billboard Korea Hot 100,0.3952
Billboard Philippines Hot 100,0.0528
Billboard Thailand Top Thai Songs,0.09120000000000002
Billboard Vietnam Hot 100,0.0432
Bolivia Songs,0.1328
Chile Songs,0.1296
China TME UNI Chart,0.06000000000000001
Croatia Songs,0.15199999999999997
Czech Republic Songs,0.052799999999999986
Denmark Songs,0.05279999999999999
Ecuador Songs,0.13920000000000002
Finland Songs,0.06239999999999999
France Songs,0.05919999999999999
Germany Songs,0.05919999999999999
Greece Songs,0.07200000000000004
Hong Kong Songs,0.1616
Hungary Songs,0.049599999999999984
Iceland Songs,0.23839999999999997
India Songs,0.04639999999999998
Indonesia Songs,0.05919999999999999
Ireland Songs,0.07200000000000001
Luxembourg Songs,0.08800000000000002
Malaysia Songs,0.0432
Mexico Songs,0.11040000000000004
Netherlands Songs,0.0688
New Zealand Songs,0.11680000000000001
Norway Songs,0.05280000000000001
Peru Songs,0.136
Poland Songs,0.05279999999999999
Portugal Songs,0.09120000000000002
Romania Songs,0.07520000000000003
Singapore Songs,0.04959999999999999
Slovakia Songs,0.06559999999999999
South Africa Songs,0.04639999999999998
Spain Songs,0.11040000000000003
Sweden Songs,0.04639999999999998
Switzerland Songs,0.11040000000000003
Taiwan Songs,0.052799999999999986
Turkey Songs,0.07520000000000002
U.K. Songs,0.0752
U.S. Hot 100 Songs,0.0322
Worldwide Top 200 Songs,0.017050000000000003
